id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
989986155713253376,https://twitter.com/aCreativeDC/status/989986155713253376,Fri Apr 27 21:54:27 +0000 2018,2018-04-27 21:54:27+00:00,aCreativeDC,RT @BroccoliCity: When you check the weather for tomorrow and it still says 70s ☀️#bcfest2018 https://t.co/eR6mwgRP2o,retweet,,bcfest2018,https://twitter.com/BroccoliCity/status/989966025381859328/photo/1,,0,,,,en,,FALSE,41,989966025381859328,BroccoliCity,18148516,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2965995161,Wed Jan 07 13:35:23 +0000 2015,FALSE,Your life looks good here: A Creative DC celebrates DC's creative communities + creative economy. #DCisReal – add your perspective: #aCreativeDC.,63849,9557,2779,438,"Washington, DC",A Creative DC,33703,Eastern Time (US & Canada),http://www.aCreativeDC.com,FALSE
992094429694455808,https://twitter.com/aCreativeDC/status/992094429694455808,Thu May 03 17:31:58 +0000 2018,2018-05-03 17:31:58+00:00,aCreativeDC,"RT @wcp: Podcasters of color, excluded from mainstream networks, are making new spaces for their work.

https://t.co/SzxZ4bRfac",retweet,,,,https://www.washingtoncitypaper.com/arts/article/21003407/black-and-brown-podcasters-are-creating-an-audio-world-you-wont-find-in-the-mainstream,0,,,,en,,FALSE,30,992064474298363904,wcp,14437161,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2965995161,Wed Jan 07 13:35:23 +0000 2015,FALSE,Your life looks good here: A Creative DC celebrates DC's creative communities + creative economy. #DCisReal – add your perspective: #aCreativeDC.,63849,9557,2779,438,"Washington, DC",A Creative DC,33703,Eastern Time (US & Canada),http://www.aCreativeDC.com,FALSE
990998554184441856,https://twitter.com/aleks_DESIGN/status/990998554184441856,Mon Apr 30 16:57:21 +0000 2018,2018-04-30 16:57:21+00:00,aleks_DESIGN,"RT @itsbyMalik: ""Nautica For Nike"" Series - Personal Favorites
Design Direction &amp; Photography: @itsbyMalik 
Model: Nautica Gant 
#TheFuture…",retweet,,,,,0,,,,en,,,21,940381259502628865,itsbyMalik,198709145,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",204431453,Mon Oct 18 17:40:49 +0000 2010,FALSE,TODO ES DISEÑO,909,224,1552,0,DF,SAN DESIGNER,1079,Madrid,http://ikoods.wix.com/aleks,FALSE
991280728573988864,https://twitter.com/aCreativeDC/status/991280728573988864,Tue May 01 11:38:37 +0000 2018,2018-05-01 11:38:37+00:00,aCreativeDC,"RT @Aniekanreloaded: Mission Complete! 
New mural created for @CityWineryDC (1350 okie Street NE) Go Check it out if you're in the DC area!…",retweet,,,,,0,,,,en,,,18,991090387157770240,Aniekanreloaded,1281747084,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2965995161,Wed Jan 07 13:35:23 +0000 2015,FALSE,Your life looks good here: A Creative DC celebrates DC's creative communities + creative economy. #DCisReal – add your perspective: #aCreativeDC.,63849,9557,2779,438,"Washington, DC",A Creative DC,33703,Eastern Time (US & Canada),http://www.aCreativeDC.com,FALSE
993137025372114947,https://twitter.com/serialkarma/status/993137025372114947,Sun May 06 14:34:53 +0000 2018,2018-05-06 14:34:53+00:00,serialkarma,"RT @duendedistrict: Muchas gracias to @Marissa_Jae  of the @washingtonpost for this gorgeous, moving story of Duende District &amp; our partner…",retweet,,,,,0,,,,en,,,16,991674858743521280,duendedistrict,828641010435649540,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",5839762,Mon May 07 18:11:36 +0000 2007,FALSE,"savior of kittens in fence posts, actually a wizard, apparently",42472,397,498,21,NYC,serialkarma,35807,Eastern Time (US & Canada),http://divebarkarma.tumblr.com/,FALSE
992937994180071424,https://twitter.com/DCNYATL/status/992937994180071424,Sun May 06 01:24:00 +0000 2018,2018-05-06 01:24:00+00:00,DCNYATL,"RT @BlindWhino: “Yo, Microphone Check, One, Two what is this...” // well its  our newest #ArtAnnex installation entitled “Microphone” featu…",retweet,,ArtAnnex,,,0,,,,en,,,16,992470393767292928,BlindWhino,1638631454,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",19005301,Thu Jan 15 01:24:47 +0000 2009,FALSE,"Fly videos,news,music,sports & fashion  #StonerNation #HollisQueens #DC #TeamRedskins  #GoGo  #HTTR  #HipHop #OldSchool",170,6026,4168,313,ATL,LOUDPACK!,478783,Eastern Time (US & Canada),,FALSE
992897983095042048,https://twitter.com/SSNZAU1973/status/992897983095042048,Sat May 05 22:45:00 +0000 2018,2018-05-05 22:45:00+00:00,SSNZAU1973,"RT @BlindWhino: “Yo, Microphone Check, One, Two what is this...” // well its  our newest #ArtAnnex installation entitled “Microphone” featu…",retweet,,ArtAnnex,,,0,,,,en,,,16,992470393767292928,BlindWhino,1638631454,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",451186963,Sat Dec 31 04:23:40 +0000 2011,FALSE,Family..Art @S_ScholeyArt Tattoo..HipHop..Metal.Reggae..Born in Auckland NZ Home is Melbourne #TEAM360WISE Insta @s_scholeyart #sscholeyart,53851,6528,4952,224,"Melbourne, Victoria",S.Scholey,84478,Beijing,https://360wise.biz/,FALSE
992837578268332032,https://twitter.com/BlindWhino/status/992837578268332032,Sat May 05 18:44:59 +0000 2018,2018-05-05 18:44:59+00:00,BlindWhino,"RT @BlindWhino: “Yo, Microphone Check, One, Two what is this...” // well its  our newest #ArtAnnex installation entitled “Microphone” featu…",retweet,,ArtAnnex,,,0,,,,en,,,16,992470393767292928,BlindWhino,1638631454,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1638631454,Thu Aug 01 18:59:19 +0000 2013,FALSE,"..nestled in the heart of Southwest Washington DC is an amazing artistic gem better known as the Blind Whino SW Arts Club, a 501(c)(3) Nonprofit Organization.",2,2284,440,90,Southwest DC,Blind Whino,4343,,http://blindwhino.org,FALSE
992828790173822976,https://twitter.com/JKDowdmedia/status/992828790173822976,Sat May 05 18:10:04 +0000 2018,2018-05-05 18:10:04+00:00,JKDowdmedia,"RT @BlindWhino: “Yo, Microphone Check, One, Two what is this...” // well its  our newest #ArtAnnex installation entitled “Microphone” featu…",retweet,,ArtAnnex,,,0,,,,en,,,16,992470393767292928,BlindWhino,1638631454,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",550637015,Wed Apr 11 02:42:40 +0000 2012,FALSE,Take the Moments Out of Time and Make Them the Best Memories,142,177,258,2,,Jermoni Dowd,1242,Atlantic Time (Canada),http://jkdowdmedia.com/partylife,FALSE
992783949838651392,https://twitter.com/thehornboy/status/992783949838651392,Sat May 05 15:11:53 +0000 2018,2018-05-05 15:11:53+00:00,thehornboy,"RT @BlindWhino: “Yo, Microphone Check, One, Two what is this...” // well its  our newest #ArtAnnex installation entitled “Microphone” featu…",retweet,,ArtAnnex,,,0,,,,en,,,16,992470393767292928,BlindWhino,1638631454,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1553278855,Fri Jun 28 14:41:10 +0000 2013,FALSE,"trumpeter in Scottish ska juggernaut,
a man who can back up his words with pure swagger.",7087,597,1348,31,"Edinburgh, Scotland",Thehornboy,7494,,http://bombskare.co.uk,FALSE
